input,head,n_folds,dim,test_f1_mean,test_f1_std,test_auc_mean,test_auc_std,test_accuracy_mean,test_accuracy_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_specificity_mean,test_specificity_std,best_param_modal,best_param_freq,best_param_ndistinct
img_effort_vit,random_forest,30,768,0.745687830687831,0.17758741021161417,0.7972222222222223,0.1900712375695315,0.7523809523809526,0.16256686312744764,0.7772222222222223,0.19280562807426985,0.7722222222222223,0.23765832929119374,0.75,0.23772549287294753,"{""max_depth"": 5, ""min_samples_leaf"": 1, ""n_estimators"": 200}",9/30,7
img_velocity_vit,random_forest,30,768,0.7090476190476191,0.18027817822619718,0.7416666666666666,0.19340169223506545,0.7285714285714289,0.149873862047331,0.76,0.18479563113709244,0.725,0.25815251365522945,0.7444444444444444,0.19929633557645207,"{""max_depth"": 5, ""min_samples_leaf"": 1, ""n_estimators"": 200}",12/30,7
img_effort_vit,mlp_small,30,768,0.7057768157768158,0.220942216143108,0.7975694444444446,0.17845528659006227,0.7071428571428573,0.19429540326463662,0.7168253968253968,0.2509166347801674,0.7527777777777778,0.2789582197714081,0.6722222222222223,0.29355573247940464,"{""dropout"": 0.5, ""weight_decay"": 0.001}",15/30,4
img_effort_vit,mlp_fixed,30,768,0.6962530062530063,0.21263458858422124,0.788888888888889,0.20585692932523136,0.6940476190476191,0.18526454954809551,0.6923809523809525,0.2284220571041905,0.75,0.2715783299013945,0.638888888888889,0.2718720869693179,"{""dropout"": 0.5, ""weight_decay"": 0.001}",13/30,4
img_raw_swin,random_forest,30,768,0.6472751322751324,0.191161157035055,0.6736111111111113,0.15145500155758201,0.667261904761905,0.13342337667408652,0.6594444444444446,0.20907034386671539,0.675,0.25176579459027093,0.663888888888889,0.197546412090317,"{""max_depth"": 5, ""min_samples_leaf"": 1, ""n_estimators"": 200}",9/30,7
img_effort_vit,svm_linear,30,768,0.6463492063492063,0.25179968382136403,0.726388888888889,0.18209263217442234,0.6636904761904763,0.20564919975891602,0.6649999999999999,0.26649958846373667,0.6861111111111111,0.3045656203737799,0.6444444444444444,0.2750246709007882,"{""C"": 0.003}",13/30,3
img_effort_vit,svm_rbf,30,768,0.6456613756613757,0.20437901316965476,0.7215277777777778,0.2527674490542737,0.6547619047619049,0.17283478393575377,0.6483333333333334,0.22790693469314627,0.6972222222222222,0.27288312142119975,0.6083333333333333,0.28796917406334993,"{""C"": 10.0, ""gamma"": ""scale""}",15/30,7
vid_acceleration_r2plus1d,logistic_regression,30,512,0.6445598845598844,0.2293328866582856,0.7416666666666668,0.1984434157941015,0.6916666666666668,0.14215756456987505,0.7129365079365081,0.2809472901304196,0.6472222222222221,0.2892414220948097,0.7444444444444444,0.2607215648062981,"{""C"": 1.0, ""penalty"": ""l1""}",17/30,4
img_velocity_vit,mlp_small,30,768,0.6417989417989419,0.21685993907340687,0.7298611111111112,0.21192898074578878,0.6553571428571431,0.18084452266881165,0.6861111111111113,0.25438993710870544,0.6722222222222223,0.2861199455541916,0.6472222222222223,0.26323522591680965,"{""dropout"": 0.5, ""weight_decay"": 0.001}",15/30,4
vid_acceleration_r2plus1d,svm_linear,30,512,0.637893217893218,0.15371225896979518,0.7270833333333333,0.1779033582736916,0.6416666666666668,0.14107051921304883,0.6872222222222223,0.2075698968400243,0.6722222222222223,0.25421102244707794,0.6305555555555556,0.30060868433619764,"{""C"": 0.1}",16/30,3
img_velocity_vit,mlp_fixed,30,768,0.6372486772486775,0.24660155543825305,0.7548611111111112,0.22668347251479662,0.6607142857142859,0.20516295166207243,0.6838888888888891,0.2789376169059305,0.6555555555555556,0.3030285614718329,0.675,0.2536609345796092,"{""dropout"": 0.3, ""weight_decay"": 0.001}",18/30,2
img_acceleration_vit,mlp_small,30,768,0.6372053872053872,0.17228671071958093,0.6819444444444444,0.20227789642436125,0.6517857142857143,0.15459405764808207,0.6868253968253968,0.2044702674863091,0.6611111111111111,0.25041472624693667,0.6444444444444444,0.2715195403499098,"{""dropout"": 0.5, ""weight_decay"": 0.001}",16/30,4
vid_raw_r2plus1d,logistic_regression,30,512,0.6306349206349207,0.2407378075130415,0.7381944444444444,0.15069714804149958,0.6761904761904763,0.15179356204961109,0.6644444444444446,0.262967639769179,0.6555555555555554,0.30460493015350004,0.6972222222222223,0.23106795758328622,"{""C"": 1.0, ""penalty"": ""l1""}",14/30,4
vid_acceleration_r2plus1d,mlp_small,30,512,0.6290836940836942,0.14413637065152826,0.726388888888889,0.1809382916619019,0.6196428571428572,0.13761550711066625,0.6533333333333332,0.20241678423257545,0.675,0.23401992579799286,0.5694444444444444,0.31032930640909084,"{""dropout"": 0.5, ""weight_decay"": 0.001}",13/30,4
img_acceleration_vit,svm_linear,30,768,0.6282539682539682,0.18256640531652252,0.7215277777777778,0.18182531343046504,0.6446428571428572,0.13683022530108804,0.648888888888889,0.21853453628762437,0.6555555555555554,0.24343224778007383,0.6444444444444444,0.25041472624693667,"{""C"": 0.01}",16/30,3
img_acceleration_vit,mlp_fixed,30,768,0.6256445406445407,0.1559193731286284,0.6937500000000002,0.19651461953161442,0.6363095238095239,0.14165778352466984,0.6646031746031745,0.2002439412048754,0.6444444444444443,0.234616069083697,0.6333333333333332,0.26315940713419006,"{""dropout"": 0.5, ""weight_decay"": 0.001}",16/30,3
img_velocity_vit,svm_linear,30,768,0.6252116402116402,0.20525431423696255,0.7229166666666668,0.1769586274893425,0.6440476190476192,0.18034423777986028,0.6755555555555557,0.23569142326084516,0.6444444444444443,0.2688607059103857,0.6555555555555556,0.2521301332384637,"{""C"": 0.01}",14/30,3
img_raw_swin,mlp_fixed,30,768,0.6241366041366042,0.16906140377518034,0.6347222222222223,0.16456408418400587,0.6505952380952383,0.1328617885904906,0.6879365079365081,0.20104595263203234,0.6361111111111111,0.2593863718675294,0.675,0.24305487137287396,"{""dropout"": 0.5, ""weight_decay"": 0.001}",12/30,4
img_rgb_vpa_vit,random_forest,30,768,0.6235185185185185,0.24230420285016258,0.7034722222222223,0.19099420806915648,0.6589285714285715,0.2016137176211106,0.6750000000000002,0.2713225025373711,0.6166666666666667,0.27473428472446815,0.7055555555555556,0.2577657217421204,"{""max_depth"": 5, ""min_samples_leaf"": 3, ""n_estimators"": 200}",9/30,7
img_rgb_vpz_swin,mlp_fixed,30,768,0.622962962962963,0.22161314346020183,0.6875,0.1811256840151658,0.6458333333333336,0.16353459513152646,0.6255555555555556,0.21445526345963808,0.6583333333333334,0.2727660920938828,0.6361111111111111,0.23002928904521314,"{""dropout"": 0.5, ""weight_decay"": 0.001}",14/30,4
img_rgb_vpz_vit,random_forest,30,768,0.6225925925925926,0.19990829138350494,0.7173611111111113,0.21194310432280467,0.6404761904761906,0.17419093495447555,0.6638888888888891,0.2091344749387778,0.6416666666666667,0.2708278071938428,0.65,0.21598034535240485,"{""max_depth"": 5, ""min_samples_leaf"": 3, ""n_estimators"": 200}",10/30,8
img_raw_swin,mlp_small,30,768,0.6191534391534392,0.16242454065475848,0.634027777777778,0.16004101535676415,0.6357142857142859,0.13152398014801742,0.6594444444444446,0.1993131565026371,0.6361111111111111,0.24219950506850302,0.6444444444444444,0.21767375731411429,"{""dropout"": 0.5, ""weight_decay"": 0.001}",13/30,4
img_rgb_vpe_swin,mlp_fixed,30,768,0.6184391534391535,0.20662813064610333,0.6493055555555556,0.21609696136541706,0.6380952380952382,0.18216418626525466,0.6744444444444444,0.247506079236974,0.6222222222222221,0.26236959298013546,0.65,0.29637012170957044,"{""dropout"": 0.5, ""weight_decay"": 0.001}",17/30,2
img_pressure_swin,mlp_fixed,30,768,0.6156709956709958,0.1882349675001954,0.6590277777777779,0.19714826131937255,0.6071428571428573,0.178448233366305,0.6173809523809524,0.21463040148664314,0.6555555555555554,0.23846304376974978,0.5527777777777777,0.27723606181718663,"{""dropout"": 0.3, ""weight_decay"": 0.001}",12/30,4
img_pressure_vit,random_forest,30,768,0.6147089947089948,0.19537863380139625,0.6972222222222222,0.20329638977244108,0.6416666666666667,0.1710184269873383,0.6781746031746032,0.213544680501628,0.6166666666666667,0.25200346649686545,0.6694444444444445,0.24219950506850305,"{""max_depth"": 5, ""min_samples_leaf"": 5, ""n_estimators"": 100}",7/30,6
img_rgb_vpa_swin,svm_linear,30,768,0.6146296296296297,0.19598666610732096,0.717361111111111,0.16300607658168537,0.6577380952380953,0.1449267673222063,0.693888888888889,0.24946238490297787,0.5888888888888889,0.2132279433164973,0.7388888888888888,0.2313268960204966,"{""C"": 0.003}",28/30,2
img_raw_vit,logistic_regression,30,768,0.6139947089947089,0.2086479349366042,0.6618055555555556,0.18380647975172928,0.6255952380952381,0.17252595020805184,0.6411111111111112,0.24277819423585806,0.6416666666666667,0.25629058878621186,0.611111111111111,0.27537273010469443,"{""C"": 1.0, ""penalty"": ""l1""}",13/30,4
img_rgb_vpe_swin,mlp_small,30,768,0.6093915343915344,0.22045490083940664,0.6347222222222223,0.21258121429049406,0.6297619047619047,0.18839560519867496,0.6544444444444444,0.2566708961188075,0.6166666666666667,0.26677440352379933,0.6333333333333333,0.2841603885779677,"{""dropout"": 0.3, ""weight_decay"": 0.001}",13/30,4
img_rgb_vpz_swin,mlp_small,30,768,0.6090740740740742,0.21820402307896428,0.6708333333333333,0.19112868024917953,0.6279761904761906,0.1712208391763057,0.6138888888888889,0.23247309955751858,0.638888888888889,0.25739385467413595,0.6194444444444444,0.23740629663240864,"{""dropout"": 0.5, ""weight_decay"": 0.001}",13/30,4
img_rgb_vpe_swin,random_forest,30,768,0.6082275132275133,0.2289911007824402,0.6694444444444445,0.19162397492225863,0.6357142857142859,0.16147194151259842,0.6166666666666668,0.23917162276093631,0.6361111111111111,0.283217803807174,0.638888888888889,0.20334055636941503,"{""max_depth"": 5, ""min_samples_leaf"": 1, ""n_estimators"": 200}",13/30,6
img_pressure_swin,mlp_small,30,768,0.6081216931216933,0.20681179290612908,0.6756944444444445,0.19731520324514545,0.6107142857142858,0.17429611129450262,0.5955555555555556,0.1880497475008178,0.65,0.2574558698189159,0.5666666666666667,0.228898746207413,"{""dropout"": 0.5, ""weight_decay"": 0.001}",14/30,4
img_rgb_vpz_vit,mlp_small,30,768,0.6072486772486771,0.1998522200716459,0.6600694444444444,0.2036926259432712,0.6232142857142856,0.16773460048499014,0.6394444444444446,0.21395219742775132,0.6388888888888888,0.2701047523960326,0.6194444444444444,0.2281477697746112,"{""dropout"": 0.5, ""weight_decay"": 0.001}",16/30,4
img_effort_swin,random_forest,30,768,0.6066137566137566,0.1974276955038723,0.65625,0.20593083106690957,0.6398809523809526,0.1274032982256747,0.6427777777777778,0.19552872290658854,0.6277777777777779,0.27397784027254596,0.6583333333333333,0.17000957827422797,"{""max_depth"": 5, ""min_samples_leaf"": 1, ""n_estimators"": 200}",9/30,8
vid_raw_r2plus1d,svm_linear,30,512,0.6061640211640212,0.23922244426301878,0.713888888888889,0.1875345859970449,0.6351190476190477,0.18413042712133065,0.6333333333333332,0.27424574375794547,0.6166666666666667,0.26041522988109395,0.6694444444444444,0.25566693391664813,"{""C"": 0.1}",22/30,3
img_rgb_vpe_swin,svm_rbf,30,768,0.6048941798941799,0.2670431149380328,0.7090277777777778,0.19485750802959703,0.6672619047619048,0.17143904764103132,0.6333333333333334,0.2774404081539464,0.6027777777777777,0.29006814278457566,0.7277777777777777,0.22310647825325378,"{""C"": 1.0, ""gamma"": ""scale""}",15/30,6
img_effort_swin,mlp_fixed,30,768,0.6041798941798943,0.1806258316513337,0.6618055555555554,0.1824990268348238,0.5916666666666667,0.15997595409270854,0.5848412698412698,0.19103416154461958,0.6555555555555556,0.23235976421390772,0.525,0.26546965538651396,"{""dropout"": 0.5, ""weight_decay"": 0.001}",13/30,4
img_rgb_vpz_vit,svm_rbf,30,768,0.6030423280423279,0.22871839328747437,0.6534722222222222,0.268557153328834,0.6392857142857143,0.1431954123160878,0.6266666666666667,0.2544093904144155,0.638888888888889,0.28393557810877496,0.638888888888889,0.27968692586647403,"{""C"": 10.0, ""gamma"": 0.001}",10/30,7
